month,year,county,amount,sales_type
10,2020,Adams,716177,medical
10,2020,Adams,13204959,retail
10,2020,Alamosa,,medical
10,2020,Arapahoe,16450038,retail
10,2020,Arapahoe,1029767,medical
10,2020,Archuleta,1481254,retail
10,2020,Boulder,1382416,medical
10,2020,Bent,,retail
10,2020,Chaffee,,medical
10,2020,Boulder,11622740,retail
10,2020,Delta,,medical
10,2020,Chaffee,665749,retail
10,2020,Denver,18032316,medical
10,2020,Clear Creek,817036,retail
10,2020,Eagle,136721,medical
10,2020,Conejos,,retail
10,2020,El Paso,12431188,medical
10,2020,Costilla,641992,retail
10,2020,Fremont,,medical
10,2020,Crowley,,retail
10,2020,Garfield,119428,medical
10,2020,Denver,47172820,retail
10,2020,Grand,,medical
10,2020,Eagle,1639581,retail
10,2020,Jefferson,1572699,medical
10,2020,El Paso,,retail
10,2020,La Plata,,medical
10,2020,Garfield,2532550,retail
10,2020,Larimer,740235,medical
10,2020,Gilpin,334252,retail
10,2020,Las Animas,31435,medical
10,2020,Grand,632651,retail
10,2020,Mesa,,medical
10,2020,Gunnison,867733,retail
10,2020,Moffat,,medical
10,2020,Huerfano,355511,retail
10,2020,Montezuma,,medical
10,2020,Jefferson,6031115,retail
10,2020,Montrose,,medical
10,2020,Lake,316410,retail
10,2020,Morgan,,medical
10,2020,La Plata,3689754,retail
10,2020,Otero,,medical
10,2020,Larimer,9893740,retail
10,2020,Park,,medical
10,2020,Las Animas,6506906,retail
10,2020,Pitkin,,medical
10,2020,Mesa,2812739,retail
10,2020,Pueblo,926138,medical
10,2020,Moffat,1560740,retail
10,2020,Routt,,medical
10,2020,Montezuma,2738154,retail
10,2020,Saguache,,medical
10,2020,Montrose,,retail
10,2020,San Miguel,,medical
10,2020,Morgan,2048009,retail
10,2020,Summit,,medical
10,2020,Otero,342674,retail
10,2020,Weld,373466,medical
10,2020,Ouray,1071466,retail
10,2020,Sum of NR Counties,1296958,medical
10,2020,Park,679385,retail
